Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5
Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,12500,,Record Length,12500,,Record Length,12500,,Record Length,12500
Zero Index,1874.75000000,,Zero Index,1874.75000000,,Zero Index,1874.75000000,,Zero Index,1874.75000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000

Labels,,,,
TIME,CH2,CH3,CH4,CH5
-5.99920000e-07,7.50000000e-02,9.65937500e+00,-8.75000000e-03,-1.56250000e-03
-5.99600000e-07,1.75000000e-01,9.69687500e+00,-2.18750000e-02,3.12500000e-03
-5.99280000e-07,0.00000000e+00,9.68437500e+00,-1.25000000e-02,-3.04687500e-02
-5.98960000e-07,5.00000000e-02,9.57187500e+00,-3.06250000e-02,-5.93750000e-02
-5.98640000e-07,3.75000000e-02,9.67187500e+00,-3.75000000e-03,-1.56250000e-02
-5.98320000e-07,7.50000000e-02,9.69687500e+00,-1.37500000e-02,-1.01562500e-02
-5.98000000e-07,2.25000000e-01,9.50937500e+00,-9.37500000e-03,4.06250000e-02
-5.97680000e-07,1.37500000e-01,9.55937500e+00,-3.37500000e-02,-4.68750000e-03
-5.97360000e-07,1.12500000e-01,9.65937500e+00,-1.93750000e-02,-7.57812500e-02
-5.97040000e-07,2.00000000e-01,9.63437500e+00,-1.00000000e-02,-6.25000000e-03
-5.96720000e-07,0.00000000e+00,9.62187500e+00,-7.50000000e-03,-3.35937500e-02
-5.96400000e-07,6.25000000e-02,9.73437500e+00,-4.81250000e-02,6.95312500e-02
-5.96080000e-07,2.12500000e-01,9.50937500e+00,-9.37500000e-03,9.92187500e-02
-5.95760000e-07,-5.00000000e-02,9.67187500e+00,-2.50000000e-02,-1.79687500e-02
-5.95440000e-07,1.00000000e-01,9.63437500e+00,-1.25000000e-03,-5.54687500e-02
-5.95120000e-07,1.50000000e-01,9.49687500e+00,-4.56250000e-02,-1.79687500e-02
-5.94800000e-07,2.50000000e-02,9.59687500e+00,-2.81250000e-02,-3.04687500e-02
-5.94480000e-07,1.00000000e-01,9.57187500e+00,-2.87500000e-02,-5.46875000e-03
-5.94160000e-07,1.37500000e-01,9.67187500e+00,-1.93750000e-02,-2.81250000e-02
-5.93840000e-07,2.12500000e-01,9.60937500e+00,-2.62500000e-02,-7.10937500e-02
-5.93520000e-07,6.25000000e-02,9.60937500e+00,-6.87500000e-03,-6.25000000e-02
-5.93200000e-07,6.25000000e-02,9.57187500e+00,-1.93750000e-02,-7.26562500e-02
-5.92880000e-07,7.50000000e-02,9.60937500e+00,-4.62500000e-02,-7.42187500e-02
-5.92560000e-07,1.25000000e-02,9.60937500e+00,-3.75000000e-02,-9.06250000e-02
-5.92240000e-07,6.25000000e-02,9.59687500e+00,-3.31250000e-02,-6.48437500e-02
-5.91920000e-07,5.00000000e-02,9.53437500e+00,-2.50000000e-02,-8.67187500e-02
-5.91600000e-07,7.50000000e-02,9.70937500e+00,-1.50000000e-02,-1.29687500e-01
-5.91280000e-07,1.75000000e-01,9.63437500e+00,-4.81250000e-02,-9.29687500e-02
-5.90960000e-07,1.25000000e-01,9.62187500e+00,-3.75000000e-03,-5.15625000e-02
-5.90640000e-07,1.62500000e-01,9.74687500e+00,-6.87500000e-03,-2.81250000e-02
-5.90320000e-07,7.50000000e-02,9.60937500e+00,-6.87500000e-03,-2.50000000e-02
-5.90000000e-07,1.12500000e-01,9.57187500e+00,-2.18750000e-02,2.03125000e-02
-5.89680000e-07,6.25000000e-02,9.60937500e+00,-2.00000000e-02,-5.78125000e-02
-5.89360000e-07,-2.50000000e-02,9.67187500e+00,-4.12500000e-02,-1.32812500e-01
-5.89040000e-07,6.25000000e-02,9.58437500e+00,-3.06250000e-02,-6.87500000e-02
-5.88720000e-07,7.50000000e-02,9.62187500e+00,-4.75000000e-02,-3.04687500e-02
-5.88400000e-07,1.12500000e-01,9.74687500e+00,-8.75000000e-03,-3.12500000e-03
-5.88080000e-07,3.75000000e-02,9.70937500e+00,-4.37500000e-03,-4.45312500e-02
-5.87760000e-07,0.00000000e+00,9.60937500e+00,-3.06250000e-02,-6.64062500e-02
-5.87440000e-07,8.75000000e-02,9.49687500e+00,-2.56250000e-02,-5.23437500e-02
-5.87120000e-07,6.25000000e-02,9.64687500e+00,-3.81250000e-02,-2.34375000e-03
-5.86800000e-07,1.00000000e-01,9.73437500e+00,-1.68750000e-02,-6.71875000e-02
-5.86480000e-07,2.12500000e-01,9.62187500e+00,-1.43750000e-02,-7.57812500e-02
-5.86160000e-07,1.62500000e-01,9.59687500e+00,2.06250000e-02,-4.68750000e-02
-5.85840000e-07,2.12500000e-01,9.47187500e+00,-9.37500000e-03,-6.87500000e-02
-5.85520000e-07,6.25000000e-02,9.53437500e+00,-2.00000000e-02,-5.23437500e-02
-5.85200000e-07,-5.00000000e-02,9.58437500e+00,-3.87500000e-02,4.76562500e-02
-5.84880000e-07,1.25000000e-01,9.59687500e+00,-4.00000000e-02,6.79687500e-02
-5.84560000e-07,-1.25000000e-02,9.62187500e+00,-1.25000000e-03,-9.53125000e-02
-5.84240000e-07,1.62500000e-01,9.57187500e+00,-6.25000000e-03,-1.78125000e-01
-5.83920000e-07,1.50000000e-01,9.69687500e+00,-2.18750000e-02,-8.67187500e-02
-5.83600000e-07,-1.25000000e-02,9.55937500e+00,-3.12500000e-02,7.81250000e-04
-5.83280000e-07,0.00000000e+00,9.67187500e+00,-3.87500000e-02,-1.95312500e-02
-5.82960000e-07,1.00000000e-01,9.54687500e+00,-2.25000000e-02,-3.82812500e-02
-5.82640000e-07,1.37500000e-01,9.55937500e+00,-3.62500000e-02,-1.71875000e-02
-5.82320000e-07,1.25000000e-01,9.44687500e+00,-3.50000000e-02,-4.68750000e-02
-5.82000000e-07,1.37500000e-01,9.59687500e+00,1.37500000e-02,-7.96875000e-02
-5.81680000e-07,6.25000000e-02,9.58437500e+00,-4.31250000e-02,-8.90625000e-02
-5.81360000e-07,1.25000000e-02,9.70937500e+00,-1.18750000e-02,-9.60937500e-02
-5.81040000e-07,7.50000000e-02,9.64687500e+00,-2.31250000e-02,-1.02343750e-01
-5.80720000e-07,3.75000000e-02,9.67187500e+00,-5.87500000e-02,1.48437500e-02
-5.80400000e-07,1.50000000e-01,9.68437500e+00,-3.31250000e-02,-1.17187500e-02
-5.80080000e-07,3.75000000e-02,9.70937500e+00,-3.81250000e-02,-1.25000000e-02
-5.79760000e-07,6.25000000e-02,9.52187500e+00,-3.50000000e-02,1.32812500e-02
-5.79440000e-07,1.87500000e-01,9.54687500e+00,8.75000000e-03,-1.03906250e-01
-5.79120000e-07,2.00000000e-01,9.57187500e+00,-1.62500000e-02,-7.89062500e-02
-5.78800000e-07,7.50000000e-02,9.60937500e+00,-2.87500000e-02,-7.10937500e-02
-5.78480000e-07,8.75000000e-02,9.69687500e+00,-3.12500000e-02,-4.21875000e-02
-5.78160000e-07,1.00000000e-01,9.48437500e+00,-2.81250000e-02,-1.32812500e-02
-5.77840000e-07,1.12500000e-01,9.59687500e+00,2.37500000e-02,-8.43750000e-02
-5.77520000e-07,5.00000000e-02,9.65937500e+00,-1.93750000e-02,-5.62500000e-02
-5.77200000e-07,1.37500000e-01,9.48437500e+00,-3.12500000e-02,-1.44531250e-01
-5.76880000e-07,-1.25000000e-02,9.54687500e+00,-1.62500000e-02,-1.41406250e-01
-5.76560000e-07,1.25000000e-01,9.55937500e+00,-3.62500000e-02,-2.96875000e-02
-5.76240000e-07,6.25000000e-02,9.64687500e+00,-6.87500000e-03,-1.03906250e-01
-5.75920000e-07,1.75000000e-01,9.62187500e+00,-2.31250000e-02,-1.96875000e-01
-5.75600000e-07,1.37500000e-01,9.60937500e+00,-2.81250000e-02,-7.96875000e-02
-5.75280000e-07,1.12500000e-01,9.68437500e+00,-3.75000000e-03,-4.53125000e-02
-5.74960000e-07,5.00000000e-02,9.57187500e+00,-1.62500000e-02,7.81250000e-03
-5.74640000e-07,-1.25000000e-02,9.43437500e+00,1.81250000e-02,2.10937500e-02
-5.74320000e-07,2.50000000e-02,9.64687500e+00,-1.00000000e-02,-8.35937500e-02
-5.74000000e-07,2.00000000e-01,9.63437500e+00,-1.93750000e-02,-5.39062500e-02
-5.73680000e-07,0.00000000e+00,9.64687500e+00,-2.00000000e-02,-2.34375000e-02
-5.73360000e-07,-1.25000000e-02,9.58437500e+00,-4.87500000e-02,-3.51562500e-02
-5.73040000e-07,0.00000000e+00,9.68437500e+00,-4.25000000e-02,-2.10937500e-02
-5.72720000e-07,1.00000000e-01,9.57187500e+00,-1.37500000e-02,-1.00781250e-01
-5.72400000e-07,5.00000000e-02,9.52187500e+00,-2.12500000e-02,-1.25781250e-01
-5.72080000e-07,3.75000000e-02,9.50937500e+00,-1.93750000e-02,-5.31250000e-02
-5.71760000e-07,0.00000000e+00,9.68437500e+00,5.62500000e-03,-5.78125000e-02
-5.71440000e-07,6.25000000e-02,9.57187500e+00,-2.56250000e-02,-8.43750000e-02
-5.71120000e-07,-6.25000000e-02,9.72187500e+00,-1.25000000e-02,-1.19531250e-01
-5.70800000e-07,2.50000000e-02,9.74687500e+00,-3.56250000e-02,-3.51562500e-02
-5.70480000e-07,7.50000000e-02,9.55937500e+00,1.25000000e-03,-1.32812500e-02
-5.70160000e-07,0.00000000e+00,9.64687500e+00,-1.18750000e-02,-3.51562500e-02
-5.69840000e-07,-1.25000000e-01,9.62187500e+00,-4.56250000e-02,1.87500000e-02
-5.69520000e-07,1.25000000e-01,9.37187500e+00,-8.75000000e-03,-3.28125000e-02
-5.69200000e-07,1.25000000e-01,9.52187500e+00,5.62500000e-03,-7.81250000e-02
-5.68880000e-07,2.12500000e-01,9.69687500e+00,-4.62500000e-02,-3.90625000e-02
-5.68560000e-07,1.87500000e-01,9.69687500e+00,-6.87500000e-03,-6.79687500e-02
-5.68240000e-07,1.25000000e-02,9.64687500e+00,-4.87500000e-02,-5.39062500e-02
-5.67920000e-07,1.25000000e-01,9.59687500e+00,1.25000000e-03,-9.21875000e-02
-5.67600000e-07,1.25000000e-02,9.57187500e+00,-7.50000000e-03,-1.13281250e-01
-5.67280000e-07,-1.25000000e-02,9.64687500e+00,-2.81250000e-02,-6.09375000e-02
