Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5,,Channel,CH6
Label,,,Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,1250,,Record Length,1250,,Record Length,1250,,Record Length,1250,,Record Length,1250
Zero Index,62.51562500,,Zero Index,62.51562500,,Zero Index,62.51562500,,Zero Index,62.51562500,,Zero Index,62.51562500
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,4.000000

Labels,,,,,
TIME,CH2,CH3,CH4,CH5,CH6
-2.00050000e-08,1.50960000e+02,1.50375000e+02,1.15625000e-01,-1.15625000e-01,-1.80093750e-03
-1.96850000e-08,1.50540000e+02,1.50615000e+02,-5.31250000e-02,-7.81250000e-02,-1.83812500e-03
-1.93650000e-08,1.51200000e+02,1.50915000e+02,-1.93750000e-01,-1.40625000e-01,-1.93375000e-03
-1.90450000e-08,1.51020000e+02,1.50975000e+02,2.81250000e-02,-4.06250000e-02,-2.07718750e-03
-1.87250000e-08,1.50900000e+02,1.50795000e+02,-1.43750000e-01,-1.53125000e-01,-2.18875000e-03
-1.84050000e-08,1.51080000e+02,1.51095000e+02,-6.25000000e-02,-1.71875000e-01,-2.15687500e-03
-1.80850000e-08,1.51140000e+02,1.50435000e+02,0.00000000e+00,-1.50000000e-01,-1.90187500e-03
-1.77650000e-08,1.51080000e+02,1.51035000e+02,-2.34375000e-01,-1.25000000e-02,-1.41312500e-03
-1.74450000e-08,1.50780000e+02,1.51155000e+02,-1.12500000e-01,4.68750000e-02,-8.18125000e-04
-1.71250000e-08,1.50720000e+02,1.50855000e+02,3.75000000e-02,9.68750000e-02,-2.86875000e-04
-1.68050000e-08,1.50480000e+02,1.50915000e+02,5.00000000e-02,-2.81250000e-02,7.43750000e-05
