Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5,,Channel,CH6
Label,,,Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,125000,,Record Length,125000,,Record Length,125000,,Record Length,125000,,Record Length,125000
Zero Index,18749.25000000,,Zero Index,18749.25000000,,Zero Index,18749.25000000,,Zero Index,18749.25000000,,Zero Index,18749.25000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000

Labels,,,,,
TIME,CH2,CH3,CH4,CH5,CH6
-5.99976000e-06,2.66250000e+00,1.00150000e+02,1.95750000e+01,1.82500000e+01,1.50000000e+00
-5.99944000e-06,3.22500000e+00,1.00450000e+02,1.96250000e+01,1.82125000e+01,1.50093750e+00
-5.99912000e-06,2.95000000e+00,1.00800000e+02,1.96000000e+01,1.82375000e+01,1.50156250e+00
-5.99880000e-06,2.73750000e+00,1.01050000e+02,1.96750000e+01,1.83250000e+01,1.50218750e+00
-5.99848000e-06,2.48750000e+00,1.00500000e+02,1.95875000e+01,1.82125000e+01,1.50312500e+00
-5.99816000e-06,2.40000000e+00,1.00550000e+02,1.96500000e+01,1.81500000e+01,1.50343750e+00
-5.99784000e-06,2.08750000e+00,1.00350000e+02,1.96000000e+01,1.81375000e+01,1.50406250e+00
-5.99752000e-06,2.37500000e+00,1.00500000e+02,1.96750000e+01,1.81625000e+01,1.50437500e+00
-5.99720000e-06,2.32500000e+00,1.00500000e+02,1.97375000e+01,1.82125000e+01,1.50500000e+00
-5.99688000e-06,2.17500000e+00,1.00750000e+02,1.97500000e+01,1.82750000e+01,1.50562500e+00
-5.99656000e-06,2.17500000e+00,1.00800000e+02,1.96500000e+01,1.82625000e+01,1.50625000e+00
-5.99624000e-06,2.15000000e+00,1.00900000e+02,1.97250000e+01,1.82875000e+01,1.50687500e+00
-5.99592000e-06,2.80000000e+00,1.00500000e+02,1.96875000e+01,1.82750000e+01,1.50750000e+00
-5.99560000e-06,2.52500000e+00,1.00850000e+02,1.96875000e+01,1.82750000e+01,1.50781250e+00
-5.99528000e-06,2.12500000e+00,1.00850000e+02,1.97125000e+01,1.82500000e+01,1.50812500e+00
-5.99496000e-06,2.36250000e+00,1.00400000e+02,1.97125000e+01,1.82250000e+01,1.50812500e+00
-5.99464000e-06,2.82500000e+00,1.00300000e+02,1.96125000e+01,1.83000000e+01,1.50781250e+00
-5.99432000e-06,2.73750000e+00,1.00850000e+02,1.96625000e+01,1.82625000e+01,1.50718750e+00
-5.99400000e-06,2.01250000e+00,1.00850000e+02,1.96250000e+01,1.82625000e+01,1.50656250e+00
-5.99368000e-06,2.43750000e+00,1.00600000e+02,1.96875000e+01,1.81875000e+01,1.50531250e+00
-5.99336000e-06,2.43750000e+00,1.00550000e+02,1.97125000e+01,1.82750000e+01,1.50437500e+00
-5.99304000e-06,1.92500000e+00,1.01100000e+02,1.95625000e+01,1.83375000e+01,1.50312500e+00
-5.99272000e-06,2.17500000e+00,1.00500000e+02,1.96750000e+01,1.82875000e+01,1.50250000e+00
-5.99240000e-06,2.07500000e+00,1.00400000e+02,1.96125000e+01,1.81750000e+01,1.50218750e+00
-5.99208000e-06,2.42500000e+00,1.01000000e+02,1.96500000e+01,1.82750000e+01,1.50187500e+00
-5.99176000e-06,2.47500000e+00,1.00650000e+02,1.96875000e+01,1.82375000e+01,1.50250000e+00
-5.99144000e-06,2.33750000e+00,1.00500000e+02,1.95750000e+01,1.82125000e+01,1.50281250e+00
-5.99112000e-06,2.50000000e+00,1.00400000e+02,1.97250000e+01,1.82000000e+01,1.50343750e+00
-5.99080000e-06,2.93750000e+00,1.01100000e+02,1.96000000e+01,1.82250000e+01,1.50406250e+00
-5.99048000e-06,2.36250000e+00,1.00900000e+02,1.96000000e+01,1.83750000e+01,1.50406250e+00
-5.99016000e-06,2.25000000e+00,1.00750000e+02,1.97500000e+01,1.82250000e+01,1.50406250e+00
-5.98984000e-06,2.65000000e+00,1.00100000e+02,1.97125000e+01,1.82375000e+01,1.50406250e+00
-5.98952000e-06,2.67500000e+00,1.00550000e+02,1.96750000e+01,1.81875000e+01,1.50375000e+00
-5.98920000e-06,1.77500000e+00,1.00700000e+02,1.95625000e+01,1.82625000e+01,1.50375000e+00
-5.98888000e-06,2.81250000e+00,1.00750000e+02,1.95625000e+01,1.83500000e+01,1.50406250e+00
-5.98856000e-06,2.63750000e+00,1.00700000e+02,1.95625000e+01,1.83000000e+01,1.50500000e+00
-5.98824000e-06,2.27500000e+00,1.00450000e+02,1.95500000e+01,1.82250000e+01,1.50625000e+00
-5.98792000e-06,2.58750000e+00,1.00600000e+02,1.95250000e+01,1.82625000e+01,1.50812500e+00
-5.98760000e-06,2.48750000e+00,1.00300000e+02,1.95875000e+01,1.83000000e+01,1.51000000e+00
-5.98728000e-06,2.12500000e+00,1.00250000e+02,1.97625000e+01,1.82375000e+01,1.51187500e+00
-5.98696000e-06,2.52500000e+00,1.00250000e+02,1.96750000e+01,1.82000000e+01,1.51375000e+00
