"Reference","Value","Qty","Description"
"C101","1u","1","MLCC"
"C102,C103","100n","2","MLCC"
"C104","10u","1","MLCC"
"C105","ECW-FG60106J","1","Film Capacitors 600VDC 10uF 5% STR L/S=27.5mm AEC-Q200"
"IC101","SI823H9AC-IS","1","Optocoupler Drive 1-CH 5.5V 1500V 8-Pin SOIC N Tube"
"J101","Conn_Coaxial","1","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)"
"J103,J104","MMCX_vert","2","RF COAXIAL, MMCX, STRAIGHT JACK, 50OHM"
"J105","JST B2PS-VH","1","JST VH Series Header"
"J106,J107","74650173 Wurth Terminal","2","Wurth screw terminal"
"J108,J109","JST BS2P-SHF-1AA","2","JST NH Series Header"
"Q101,Q102","Pin Receptacle 9372-0-15-15-23-27-10-0, Mill-max","2","Socket for TO-247 power device using three receptacles 9372-0-15-15-23-27-10-0 from Mill-max per device."
"R106","Rg of your choice","1","SMD Resistor"
"TP102,TP103,TP104,TP105,TP106","TestPoint","5","test point"
