"Reference","Value","Qty","Description"
"C101,C104","1u","2","MLCC"
"C102,C106","100n","2","MLCC"
"C103","100n (in case)","1","MLCC"
"C105","TCJY106M035R0070E","1","Tantalum Capacitors - Polymer 35V 10uF 2917 20% ESR=70mOhms"
"C107","10u","1","MLCC"
"C108","ECW-FG60106J","1","Film Capacitors 600VDC 10uF 5% STR L/S=27.5mm AEC-Q200"
"IC101","SI823H9AC-IS","1","Optocoupler Drive 1-CH 5.5V 1500V 8-Pin SOIC N Tube"
"J101","Conn_Coaxial","1","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)"
"J102,J103","JST BS2P-SHF-1AA","2","JST NH Series Header"
"J104","MMCX_vert","1","RF COAXIAL, MMCX, STRAIGHT JACK, 50OHM"
"J106,J108","74650173 Wurth Terminal","2","Wurth screw terminal"
"J111,J112","Pad","2","pad for soldering wire"
"Q101","TO-247 Pin Receptacle 9372-0-15-15-23-27-10-0, Mill-max","1","Socket for TO-247 power device using three receptacles 9372-0-15-15-23-27-10-0 from Mill-max per device."
"Q102","TO-247 (+ diode connection) Pin Receptacle 9372-0-15-15-23-27-10-0, Mill-max","1","Socket for TO-247 power device (forward and diode connection) using four receptacles 9372-0-15-15-23-27-10-0 from Mill-max per device."
"R102","10R","1","Resistor"
"R103,R105","5kR","2","Resistor"
"R104","10","1","Resistor"
"R111,R112","5k","2","Resistor"
"TP101,TP102,TP103,TP104,TP105,TP106","TestPoint","6","test point"
"U101","MGJ2D052005SC","1","Murata Power Solutions 2W Isolated DC-DC Converter, Vin 4.5  5.5 V, Vout 20 V, -5 V, I/O isolation 5200V dc"
